id,commune,opening_hours
1168,"Dely Ibrahim","dimanche: 09:00–23:00"
1169,"Annaba","Non renseigné"
117,"Jijel","Non renseigné"
1170,"Dar Elkadi","dimanche: 08:00–16:30"
1171,"Annaba","dimanche: Ouvert 24h/24"
1172,"Souk-Ahras","Non renseigné"
1173,"Bir Mourad Raïs","Non renseigné"
1174,"Annaba","dimanche: 09:00–20:00"
1176,"El Ouricia","dimanche: Ouvert 24h/24"
1177,"Sétif","dimanche: 09:30–17:00"
1178,"Hamadi Krouma","Non renseigné"
1179,"Alger Centre","Non renseigné"
118,"Blida","dimanche: 09:00–16:00"
1180,"Bordj El Bahri","dimanche: 09:00–17:00"
1181,"Annaba","dimanche: 08:00–00:00"
1184,"Setif","dimanche: 09:00–12:0013:30–17:00"
1186,"Skikda","dimanche: 08:00–15:00"
1187,"Sétif","dimanche: 08:00–16:26"
1188,"Skikda","dimanche: 08:30–14:30"
119,"Batna","dimanche: 08:30–16:30"
1190,"Souk Ahras","Non renseigné"
1191,"Kouba","dimanche: 09:00–18:00"
1192,"Constantine","dimanche: 08:30–17:00"
1193,"Sétif","dimanche: 08:00–16:00 | lundi: 08:00–16:30 | mardi: 08:00–16:30 | mercredi: 08:30–16:30 | jeudi: 08:30–16:30 | vendredi: Fermé | samedi: 08:00–20:00"
1194,"Guelma","dimanche: 08:00–17:00"
1195,"Bir Mourad Raïs","dimanche: Fermé"
1196,"Annaba","dimanche: 08:30–20:30"
1197,"Ben Aknoun","dimanche: 09:00–17:00"
1198,"Annaba","dimanche: 08:30–17:30"
1199,"لاندريولي","dimanche: 08:00–17:00"
12,"Sidi Chami","dimanche: 08:00–00:00"
1200,"Annaba","dimanche: 09:00–17:00"
1201,"Constantine","dimanche: 09:00–16:00"
1202,"n 228،","dimanche: 08:00–17:00"
1203,"Guelma","dimanche: 08:30–16:30"
1204,"Cité Seddiki N:34","dimanche: 08:00–16:00"
1206,"Sétif","dimanche: 08:30–17:00"
1207,"Annaba","dimanche: 09:30–17:00"
1208,"18 février n°29","Non renseigné"
1209,"Sétif","dimanche: 08:30–17:00"
121,"Batna","dimanche: 08:00–18:00"
1210,"Souk-Ahras","Non renseigné"
1211,"Bab El Oued","dimanche: 07:00–01:00"
1213,"Annaba","dimanche: 08:30–17:00"
1214,"Annaba","dimanche: 08:00–18:00"
1215,"Annaba","dimanche: 08:00–16:30"
1216,"Guelma","dimanche: 08:00–12:0013:00–16:00 | lundi: 08:00–12:0013:00–16:00 | mardi: 08:00–12:0013:00–16:00 | mercredi: 08:00–12:0013:00–16:00 | jeudi: 08:00–12:0013:00–16:00 | vendredi: Fermé | samedi: 08:00–12:0013:00–16:00"
1217,"Constantine","Non renseigné"
1218,"Annaba","dimanche: 09:00–00:00"
1219,"Annaba","dimanche: 09:00–16:00"
122,"Annaba","Non renseigné"
1220,"Annaba","dimanche: 08:30–16:00"
1221,"Sétif","dimanche: 09:00–16:00"
1223,"Constantine","dimanche: 08:00–17:00"
1224,"rue zeharaoui houcin en face malysia","dimanche: 09:00–16:00"
1226,"Kouba","dimanche: Ouvert 24h/24"
1227,"Guelma","dimanche: 08:00–17:00"
1228,"Souk-Ahras","Non renseigné"
1229,"Cité les frères Saadi bâtiment 8 les allées","Non renseigné"
123,"Batna","Non renseigné"
1230,"Annaba","dimanche: 08:00–16:00"
1231,"El Khroub","Non renseigné"
1232,"Souk-Ahras","dimanche: 08:30–18:00"
1233,"Sétif","dimanche: 09:00–17:00"
1235,"Constantine","dimanche: 08:00–16:00"
1236,"Annaba","Non renseigné"
1237,"Sétif","dimanche: 09:00–23:00"
1238,"cité Abdeslem Daksi Bt: A","dimanche: 08:30–16:00"
1239,"Bir Mourad Raïs","dimanche: 08:00–20:00"
124,"Mostaganem","dimanche: 09:00–18:00 | lundi: 09:00–18:00 | mardi: 09:00–18:00 | mercredi: 09:00–18:00 | jeudi: 09:00–18:00 | vendredi: Fermé | samedi: 09:00–18:00"
1240,"Sétif","dimanche: 09:00–04:00"
1242,"El Khroub","Non renseigné"
1243,"Skikda","dimanche: 07:00–19:00"
1244,"Annaba","dimanche: 09:00–17:00"
1245,"Souk-Ahras","dimanche: 08:00–15:00"
1246,"Guelma","dimanche: 09:00–16:00"
